game_symbol, game_name
Brunswick_Pro_Bowling, Brunswick Pro Bowling
The_Tomorrow_Children, The Tomorrow Children
Resident_Evil_7_Biohazard, Resident Evil 7 Biohazard
Madden_NFL_15, Madden NFL 15
Mistborn_Birthright, Mistborn Birthright
Toukiden_The_Age_of_Demons, Toukiden The Age of Demons
Ironclad_Tactics, Ironclad Tactics
Psycho-Pass_Mandatory_Happiness, Psycho-Pass Mandatory Happiness
The_Lego_Movie_Videogame, The Lego Movie Videogame
Torment_Tides_of_Numenera, Torment Tides of Numenera
VVVVVV, VVVVVV
Hellraid, Hellraid
Worms_W.M.D, Worms W.M.D
Assassins_Creed_Syndicate, Assassins Creed Syndicate
Terraria, Terraria
Rogue_Legacy, Rogue Legacy
BioShock_2_Minervas_Den, BioShock 2 Minervas Den
Costume_Quest_2, Costume Quest 2
Styx_Master_of_Shadows, Styx Master of Shadows
Final_Fantasy_VII_Remake, Final Fantasy VII Remake
Pathologic, Pathologic
Scramble, Scramble
Battle_Garegga, Battle Garegga
Daydreamer, Daydreamer
PoxNora, PoxNora
Splice, Splice
NBA_Live_14, NBA Live 14
Total_Miner, Total Miner
Assassins_Creed_Unity, Assassins Creed Unity
Hatoful_Boyfriend, Hatoful Boyfriend
The_Talos_Principle, The Talos Principle
Entwined, Entwined
Daylight, Daylight
Alekhines_Gun, Alekhines Gun
Golem, Golem
The_Elder_Scrolls_Online, The Elder Scrolls Online
Downwell, Downwell
Okage_Shadow_King, Okage Shadow King
Krinkle_Krusher, Krinkle Krusher
Star_Wars_Battlefront, Star Wars Battlefront
Dragon_Ball_Xenoverse, Dragon Ball Xenoverse
DayZ, DayZ
Attractio, Attractio
BioShock_Infinite, BioShock Infinite
Ronin, Ronin
Borderlands_The_Handsome_Collection, Borderlands The Handsome Collection
Layers_of_Fear, Layers of Fear
Chivalry_Medieval_Warfare, Chivalry Medieval Warfare
Kingdom_Hearts_III, Kingdom Hearts III
Day_of_the_Tentacle, Day of the Tentacle
Marvel_Puzzle_Quest, Marvel Puzzle Quest
Ether_One, Ether One
Sniper_Ghost_Warrior_3, Sniper Ghost Warrior 3
Digimon_World_Next_Order, Digimon World Next Order
Lego_Batman_3_Beyond_Gotham, Lego Batman 3 Beyond Gotham
Crash_Bandicoot_Warped, Crash Bandicoot Warped
Final_Fantasy_XIV_Heavensward, Final Fantasy XIV Heavensward
Breach_&_Clear_Deadline, Breach & Clear Deadline
Grand_Theft_Auto_V, Grand Theft Auto V
Jotun, Jotun
Osiris_New_Dawn, Osiris New Dawn
The_Peanuts_Movie_Snoopys_Grand_Adventure, The Peanuts Movie Snoopys Grand Adventure
Puddle, Puddle
Furi, Furi
Garou_Mark_of_the_Wolves, Garou Mark of the Wolves
The_Witcher_3_Wild_Hunt_-_Hearts_of_Stone, The Witcher 3 Wild Hunt - Hearts of Stone
Warframe, Warframe
Bubble_Bobble, Bubble Bobble
TwinBee, TwinBee
Watch_Dogs_2, Watch Dogs 2
Zodiac_Orcanon_Odyssey, Zodiac Orcanon Odyssey
13_Sentinels_Aegis_Rim, 13 Sentinels Aegis Rim
Starbound, Starbound
Exogenesis_Perils_of_Rebirth, Exogenesis Perils of Rebirth
Toren, Toren
Horizon_Zero_Dawn, Horizon Zero Dawn
Stories_The_Path_of_Destinies, Stories The Path of Destinies
Unmechanical, Unmechanical
Defense_Grid_2, Defense Grid 2
Jetpack_Joyride, Jetpack Joyride
Final_Fantasy_Type-0_HD, Final Fantasy Type-0 HD
Target_Earth, Target Earth
Trials_Fusion, Trials Fusion
